head_entity,tail_entity,probability
10005,11716,0.859375
12706,11353,0.4062128
22930,10061,0.71875
10228,27403,0.4375
30749,11895,0.9999981
27366,10057,0.859375
26007,10744,1.0
16387,10418,1.0
10863,10258,0.96484375
10794,10006,0.9998627
12168,12285,1.0
15003,16784,0.9296875
18383,10007,0.9999221
11978,12467,0.4375
10217,12938,0.4375
11748,28452,0.91892487
10006,26042,0.99121094
19112,10148,0.4375
32076,10006,0.9824219
10006,26705,0.4375
10425,10488,0.859375
11363,10877,1.0
10107,24594,1.0
11822,10666,0.99121094
30479,12973,1.0
10303,10012,0.9296875
10574,26590,0.4375
10396,28653,1.0
11031,21399,1.0
32077,16513,0.9999934
10049,33659,1.0
10171,31722,0.4375
32078,10006,0.859375
12648,10203,1.0
27873,10122,0.99999815
11336,16832,1.0
10430,19321,0.859375
23940,10061,0.99121094
10073,18463,0.99780273
32079,10430,0.9296875
11263,16455,0.71875
10485,15703,0.71875
11180,16331,1.0
27012,15028,1.0
28954,10324,0.4375
29437,29242,0.859375
10377,12009,0.9954317
13359,14558,0.4375
32080,33128,1.0
10461,22153,0.71875
11082,31039,0.4375
27281,12563,1.0
10141,20367,0.4375
10049,18761,0.9296875
11950,10006,0.4375
32081,23944,0.859375
12523,10006,0.999991
10432,10078,1.0
10127,11088,0.71875
25454,10370,0.99595726
22833,10323,0.98635286
12084,11072,0.71875
32082,10006,0.4375
10006,17225,0.4375
12808,10999,0.99999934
18201,10005,1.0
24108,10526,1.0
10006,14057,0.4375
29253,11705,0.859375
17888,10582,0.99444723
25768,10601,0.4375
17116,12871,1.0
32083,10006,0.4375
23385,10339,0.99999964
11823,26329,1.0
10006,11194,0.9296875
10096,14259,0.99999845
11801,10059,1.0
10834,15074,0.71875
18813,10453,1.0
10140,15648,0.859375
10229,18665,0.859375
29251,12179,0.71875
11363,27454,1.0
27280,10535,1.0
32084,10006,0.9925676
12845,12575,0.9999935
10402,14854,1.0
29878,10271,0.96484375
32085,10666,0.4375
10377,11705,0.99121094
13680,10699,0.4375
16229,10157,0.859375
12671,10393,1.0
32086,12026,1.0
14468,10535,1.0
10136,10660,0.859375
10854,11752,0.4375
15977,16006,1.0
14776,10000,0.4375
25289,10012,0.99560547
14602,10123,1.0
12077,10385,0.859375
25688,14362,0.859375
10218,30613,0.4375
