head_entity,tail_entity,probability
13968,14183,0.311
14212,13997,0.169
13841,13717,0.311
12463,12314,0.8
10207,10704,0.341
12281,12119,0.282
13959,14183,0.198
12014,12261,0.572
13833,14674,0.805
12257,12106,0.923
14166,13988,0.284
12014,11997,0.574
13954,13912,0.552
14194,13844,0.388
10270,10134,0.199
14473,13676,0.159
14161,13942,0.323
13771,14608,0.546
13893,13903,0.943
13970,14154,0.169
14448,13891,0.518
10012,10201,0.212
13987,13916,0.367
13786,14176,0.47
14215,13956,0.342
13140,12256,0.919
10143,10133,0.293
14189,13817,0.159
13811,14062,0.547
12184,12181,0.679
10733,11107,0.565
12133,12320,0.329
12437,12243,0.853
14108,14099,0.905
10142,10297,0.252
12124,12153,0.47
11486,11484,0.38
12083,12252,0.581
10154,10286,0.158
14264,14233,0.394
14238,14259,0.47
10904,10743,0.228
13656,14737,0.177
10188,10538,0.183
13985,14207,0.165
14177,13959,0.213
14013,14009,0.169
10082,10050,0.473
10073,10070,0.473
13969,13653,0.342
11759,10426,0.217
12278,12217,0.218
12216,12320,0.37
13920,13938,0.183
10050,10428,0.473
13708,13728,0.547
11167,10806,0.589
12188,12187,0.457
10055,10236,0.452
12213,12164,0.961
14246,14270,0.525
10253,10231,0.87
14474,13655,0.163
13881,13890,0.8
10142,10289,0.217
13837,13969,0.885
12690,12087,0.235
10080,10051,0.731
13976,13817,0.327
14051,14045,0.921
14190,14199,0.597
14187,13915,0.329
12185,12201,0.47
12273,12158,0.282
10069,10248,0.846
12290,12237,0.535
10300,10150,0.187
13977,13731,0.286
12260,13136,0.874
13016,12345,0.25
13981,14180,0.258
12130,12323,0.581
12270,12220,0.167
14183,13935,0.323
14153,13971,0.323
12041,12055,0.575
10144,10297,0.235
12209,12205,0.548
10125,10205,0.473
14176,13919,0.311
12291,12216,0.37
12013,12388,0.648
10148,10144,0.342
13928,14161,0.188
13956,14202,0.342
10098,10100,0.374
12176,12324,0.39
10958,10280,0.165
12340,11996,0.172
13041,12760,0.578
10286,10736,0.527
10313,10118,0.199
10297,10447,0.84
14155,14015,0.342
13963,14215,0.173
14172,13975,0.412
14866,14889,0.47
13946,13840,0.47
14219,13907,0.284
12283,12151,0.282
12266,12262,0.923
14668,14015,0.912
12298,12230,0.39
10156,10294,0.199
12690,12933,0.836
14240,14566,0.412
14216,13845,0.388
12283,12216,0.199
10051,10519,0.898
12316,12127,0.282
11100,11314,0.473
10240,10339,0.254
10062,10052,0.898
12321,12217,0.235
14171,13836,0.266
10521,10056,0.898
12251,12249,0.923
13966,14217,0.412
14217,13921,0.377
12262,12247,0.923
14217,13948,0.284
12921,12025,0.163
14056,14054,0.919
14157,13917,0.329
14167,14001,0.47
13956,14210,0.342
13968,13998,0.284
10653,10638,0.452
11420,10003,0.342
14011,13817,0.599
10132,10281,0.309
12205,12274,0.199
12214,12177,0.916
10279,10766,0.355
13898,14200,0.468
10335,10684,0.236
10396,10593,0.424
12119,12304,0.227
13983,14201,0.306
13806,14057,0.471
14649,13820,0.173
12010,12011,0.44
10748,10780,0.473
10270,10138,0.199
12564,12565,0.606
10333,10334,0.216
14148,14972,0.436
12188,12278,0.37
10063,10602,0.897
12668,12561,0.211
14179,13901,0.323
12313,12166,0.215
13833,13997,0.284
14102,14075,0.532
14178,13953,0.493
10783,10744,0.525
13980,14177,0.469
10032,11777,0.531
11170,11362,0.371
13647,14457,0.237
13896,13834,0.889
10315,10139,0.323
13942,14170,0.323
14150,13839,0.617
12714,12712,0.44
12200,12224,0.339
10633,11011,0.342
10148,10282,0.167
14018,14182,0.342
10239,10838,0.347
14047,14074,0.921
14161,13931,0.342
11045,10267,0.8
13749,13720,0.153
14153,13932,0.327
12150,12449,0.47
13997,14204,0.169
10302,10134,0.275
13955,14205,0.299
14063,13728,0.547
14157,13969,0.342
14184,13907,0.468
14210,13976,0.24
13918,13838,0.323
12298,12182,0.167
11282,11285,0.982
12731,12730,0.661
10921,10940,0.731
10052,10258,0.846
14244,14261,0.216
10309,10160,0.202
13943,14207,0.169
14153,13969,0.342
13798,14403,0.589
14087,14659,0.545
12202,12276,0.154
10002,10166,0.175
13947,14209,0.343
13895,14021,0.171
10522,10188,0.473
12383,12240,0.923
13749,14681,0.95
14069,14043,0.921
12311,12215,0.199
13769,13772,0.827
13966,14193,0.412
13841,14155,0.611
13845,14166,0.388
14050,14385,0.175
14008,14195,0.169
13993,14004,0.284
14171,14017,0.323
14213,13956,0.342
13980,13992,0.469
12417,12413,0.801
12536,12816,0.922
12307,12201,0.349
14015,14162,0.342
10398,11782,0.424
13701,14911,0.19
10149,10293,0.205
12180,12210,0.53
12277,12203,0.305
10199,10716,0.279
10002,10185,0.539
13981,13718,0.179
12209,12321,0.171
12173,12311,0.169
14200,13996,0.266
10678,10677,0.24
14182,13943,0.169
12265,13140,0.639
13225,12500,0.437
13811,14800,0.245
12210,12323,0.282
13894,13904,0.311
12392,13507,0.169
13653,14172,0.323
10562,10498,0.188
13961,14000,0.311
14021,14155,0.171
10151,10319,0.309
14000,13961,0.311
10064,10051,0.898
10069,10248,0.846
13844,13835,0.676
12299,12165,0.53
13959,13933,0.47
10748,10772,0.366
12087,12024,0.327
13900,14177,0.329
11622,11642,0.864
11237,10039,0.284
13988,14203,0.468
13461,12945,0.437
10290,10768,0.473
12271,12180,0.39
13989,13838,0.889
